anno,provincia,delitto,eta_alla_data_del_reato_vittima,provincia_uts,codice_provinciauts,codice_provincia_storico,codice_regione,regione,ripartizione_geografica,sigla_automobilistica,provinciauts_corretto,codice_ripartizione_geografica
2022,RAVENNA,9. PERCOSSE,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,9. PERCOSSE,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,9. PERCOSSE,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,9. PERCOSSE,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,9. PERCOSSE,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,9. PERCOSSE,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,9. PERCOSSE,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,9. PERCOSSE,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,9. PERCOSSE,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,9. PERCOSSE,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,9. PERCOSSE,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,9. PERCOSSE,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,9. PERCOSSE,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,9. PERCOSSE,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,9. PERCOSSE,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,9. PERCOSSE,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,9. PERCOSSE,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,9. PERCOSSE,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,9. PERCOSSE,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,9. PERCOSSE,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,9. PERCOSSE,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,9. PERCOSSE,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,9. PERCOSSE,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,9. PERCOSSE,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,9. PERCOSSE,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,9. PERCOSSE,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,9. PERCOSSE,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,9. PERCOSSE,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,9. PERCOSSE,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,9. PERCOSSE,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,9. PERCOSSE,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,9. PERCOSSE,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,9. PERCOSSE,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,9. PERCOSSE,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,9. PERCOSSE,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,9. PERCOSSE,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,9. PERCOSSE,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,9. PERCOSSE,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,9. PERCOSSE,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,10. MINACCE,0-13,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,10. MINACCE,0-13,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,10. MINACCE,0-13,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,10. MINACCE,0-13,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,10. MINACCE,0-13,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,10. MINACCE,0-13,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,10. MINACCE,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,10. MINACCE,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,10. MINACCE,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,10. MINACCE,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,10. MINACCE,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,10. MINACCE,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,10. MINACCE,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,10. MINACCE,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,10. MINACCE,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,10. MINACCE,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,10. MINACCE,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,10. MINACCE,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,10. MINACCE,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,10. MINACCE,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,10. MINACCE,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,10. MINACCE,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,10. MINACCE,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,10. MINACCE,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,10. MINACCE,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,10. MINACCE,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,10. MINACCE,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,10. MINACCE,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,10. MINACCE,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,10. MINACCE,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,10. MINACCE,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,10. MINACCE,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,10. MINACCE,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,10. MINACCE,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,10. MINACCE,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,10. MINACCE,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,10. MINACCE,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,10. MINACCE,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,10. MINACCE,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,10. MINACCE,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,10. MINACCE,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,10. MINACCE,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,10. MINACCE,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,10. MINACCE,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,10. MINACCE,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,10. MINACCE,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,10. MINACCE,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,10. MINACCE,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,12. VIOLENZE SESSUALI,0-13,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,12. VIOLENZE SESSUALI,0-13,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,12. VIOLENZE SESSUALI,0-13,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,12. VIOLENZE SESSUALI,0-13,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,12. VIOLENZE SESSUALI,0-13,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,12. VIOLENZE SESSUALI,0-13,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,12. VIOLENZE SESSUALI,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,12. VIOLENZE SESSUALI,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,12. VIOLENZE SESSUALI,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,12. VIOLENZE SESSUALI,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,12. VIOLENZE SESSUALI,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,12. VIOLENZE SESSUALI,14-17,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,12. VIOLENZE SESSUALI,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,12. VIOLENZE SESSUALI,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,12. VIOLENZE SESSUALI,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,12. VIOLENZE SESSUALI,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,12. VIOLENZE SESSUALI,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,12. VIOLENZE SESSUALI,18-24,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,12. VIOLENZE SESSUALI,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,12. VIOLENZE SESSUALI,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,12. VIOLENZE SESSUALI,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,12. VIOLENZE SESSUALI,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,12. VIOLENZE SESSUALI,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,12. VIOLENZE SESSUALI,25-34,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,12. VIOLENZE SESSUALI,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,12. VIOLENZE SESSUALI,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,12. VIOLENZE SESSUALI,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,12. VIOLENZE SESSUALI,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,12. VIOLENZE SESSUALI,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,12. VIOLENZE SESSUALI,35-44,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,12. VIOLENZE SESSUALI,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,12. VIOLENZE SESSUALI,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,12. VIOLENZE SESSUALI,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,12. VIOLENZE SESSUALI,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,12. VIOLENZE SESSUALI,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,12. VIOLENZE SESSUALI,45-54,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,12. VIOLENZE SESSUALI,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,12. VIOLENZE SESSUALI,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,12. VIOLENZE SESSUALI,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,12. VIOLENZE SESSUALI,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,12. VIOLENZE SESSUALI,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,12. VIOLENZE SESSUALI,55-64,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,RAVENNA,12. VIOLENZE SESSUALI,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2020,RAVENNA,12. VIOLENZE SESSUALI,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2021,RAVENNA,12. VIOLENZE SESSUALI,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2022,RAVENNA,12. VIOLENZE SESSUALI,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2023,RAVENNA,12. VIOLENZE SESSUALI,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2024,RAVENNA,12. VIOLENZE SESSUALI,65 e oltre,Ravenna,039,039,08,Emilia-Romagna,Nord-est,RA,RAVENNA,2
2019,FORLI' CESENA,5. TENTATI OMICIDI,18-24,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2020,FORLI' CESENA,5. TENTATI OMICIDI,18-24,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2021,FORLI' CESENA,5. TENTATI OMICIDI,18-24,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2022,FORLI' CESENA,5. TENTATI OMICIDI,18-24,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2023,FORLI' CESENA,5. TENTATI OMICIDI,18-24,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2024,FORLI' CESENA,5. TENTATI OMICIDI,18-24,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2019,FORLI' CESENA,5. TENTATI OMICIDI,25-34,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2020,FORLI' CESENA,5. TENTATI OMICIDI,25-34,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2021,FORLI' CESENA,5. TENTATI OMICIDI,25-34,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2022,FORLI' CESENA,5. TENTATI OMICIDI,25-34,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2023,FORLI' CESENA,5. TENTATI OMICIDI,25-34,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2024,FORLI' CESENA,5. TENTATI OMICIDI,25-34,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2019,FORLI' CESENA,5. TENTATI OMICIDI,35-44,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2020,FORLI' CESENA,5. TENTATI OMICIDI,35-44,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2021,FORLI' CESENA,5. TENTATI OMICIDI,35-44,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2022,FORLI' CESENA,5. TENTATI OMICIDI,35-44,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2023,FORLI' CESENA,5. TENTATI OMICIDI,35-44,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2024,FORLI' CESENA,5. TENTATI OMICIDI,35-44,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2019,FORLI' CESENA,5. TENTATI OMICIDI,45-54,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2020,FORLI' CESENA,5. TENTATI OMICIDI,45-54,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2021,FORLI' CESENA,5. TENTATI OMICIDI,45-54,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2022,FORLI' CESENA,5. TENTATI OMICIDI,45-54,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2023,FORLI' CESENA,5. TENTATI OMICIDI,45-54,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2024,FORLI' CESENA,5. TENTATI OMICIDI,45-54,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2019,FORLI' CESENA,5. TENTATI OMICIDI,55-64,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2020,FORLI' CESENA,5. TENTATI OMICIDI,55-64,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2021,FORLI' CESENA,5. TENTATI OMICIDI,55-64,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2022,FORLI' CESENA,5. TENTATI OMICIDI,55-64,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2023,FORLI' CESENA,5. TENTATI OMICIDI,55-64,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2024,FORLI' CESENA,5. TENTATI OMICIDI,55-64,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2019,FORLI' CESENA,5. TENTATI OMICIDI,65 e oltre,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2020,FORLI' CESENA,5. TENTATI OMICIDI,65 e oltre,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2021,FORLI' CESENA,5. TENTATI OMICIDI,65 e oltre,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2022,FORLI' CESENA,5. TENTATI OMICIDI,65 e oltre,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2023,FORLI' CESENA,5. TENTATI OMICIDI,65 e oltre,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2024,FORLI' CESENA,5. TENTATI OMICIDI,65 e oltre,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2019,FORLI' CESENA,8. LESIONI DOLOSE,0-13,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2020,FORLI' CESENA,8. LESIONI DOLOSE,0-13,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2021,FORLI' CESENA,8. LESIONI DOLOSE,0-13,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2022,FORLI' CESENA,8. LESIONI DOLOSE,0-13,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2023,FORLI' CESENA,8. LESIONI DOLOSE,0-13,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2024,FORLI' CESENA,8. LESIONI DOLOSE,0-13,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2019,FORLI' CESENA,8. LESIONI DOLOSE,14-17,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2020,FORLI' CESENA,8. LESIONI DOLOSE,14-17,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2021,FORLI' CESENA,8. LESIONI DOLOSE,14-17,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2022,FORLI' CESENA,8. LESIONI DOLOSE,14-17,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2023,FORLI' CESENA,8. LESIONI DOLOSE,14-17,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2024,FORLI' CESENA,8. LESIONI DOLOSE,14-17,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2019,FORLI' CESENA,8. LESIONI DOLOSE,18-24,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2020,FORLI' CESENA,8. LESIONI DOLOSE,18-24,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2021,FORLI' CESENA,8. LESIONI DOLOSE,18-24,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2022,FORLI' CESENA,8. LESIONI DOLOSE,18-24,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2023,FORLI' CESENA,8. LESIONI DOLOSE,18-24,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2024,FORLI' CESENA,8. LESIONI DOLOSE,18-24,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2019,FORLI' CESENA,8. LESIONI DOLOSE,25-34,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2020,FORLI' CESENA,8. LESIONI DOLOSE,25-34,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2021,FORLI' CESENA,8. LESIONI DOLOSE,25-34,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2022,FORLI' CESENA,8. LESIONI DOLOSE,25-34,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2023,FORLI' CESENA,8. LESIONI DOLOSE,25-34,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2024,FORLI' CESENA,8. LESIONI DOLOSE,25-34,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2019,FORLI' CESENA,8. LESIONI DOLOSE,35-44,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2020,FORLI' CESENA,8. LESIONI DOLOSE,35-44,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
2021,FORLI' CESENA,8. LESIONI DOLOSE,35-44,Forlì-Cesena,040,040,08,Emilia-Romagna,Nord-est,FC,Forlì-Cesena,2
