PROT_SDI,COD_VITTIMA,SEX_VITTIMA,ETA_VITTIMA,NAZIONE_NASCITA_VITTIMA,NAZIONE_NASCITA_VITTIMA_ISO
BSCS352024000004,20190929081006404063,FEMMINA,15,SPAGNA,ESP
BSCS352024000045,20160621074649792248,FEMMINA,29,UCRAINA,UKR
BSCS352024000115,20100530193006429051,FEMMINA,34,ITALIA,ITA
BSCS362024000085,20191008185624565315,FEMMINA,34,AFGHANISTAN,AFG
BSCS412024000003,20220106071024781285,FEMMINA,40,ROMANIA,ROU
BSCS422023000114,20180912215717944028,FEMMINA,34,ROMANIA,ROU
BSCS482024000031,20130611114752792882,FEMMINA,30,ITALIA,ITA
BSCS592023000110,20231213210536015361,FEMMINA,64,ITALIA,ITA
BSCS592024000051,20130416202456430406,FEMMINA,27,ITALIA,ITA
BSCS592024000071,20080827030435579431,MASCHIO,69,ITALIA,ITA
BSCS592024000088,20241214100127429734,FEMMINA,44,ROMANIA,ROU
BSCS612024000018,20190409105642764974,MASCHIO,35,ITALIA,ITA
BSCS622024000015,20040124112421429202,MASCHIO,45,ITALIA,ITA
BSCS622024000054,20000601153059039905,FEMMINA,25,FEDERAZIONE RUSSA,RUS
BSCS622024000070,20230209074900829829,FEMMINA,38,UCRAINA,UKR
BSCS662024000160,20071212180036105772,FEMMINA,34,MOLDAVIA,MDA
BSCS692024000003,20051129111232027330,MASCHIO,50,ROMANIA,ROU
BSCS722024000001,20100828104438307541,MASCHIO,56,ROMANIA,ROU
BSCS732023000056,20201001060631958156,FEMMINA,62,ITALIA,ITA
BSCS752024000029,20200625200656342886,FEMMINA,20,ITALIA,ITA
BSCS752024000050,20220401145642847879,FEMMINA,35,UCRAINA,UKR
BSCS772024000001,20200702151608459374,FEMMINA,23,SENEGAL,SEN
BSCS782023000271,20021028181926122149,FEMMINA,35,KENYA,KEN
BSEVB32024000187,20051103035402443997,FEMMINA,47,ITALIA,ITA
BSEVF62025000006,20180530132641761063,FEMMINA,18,ITALIA,ITA
BSEVM72024000096,20161118172704489106,FEMMINA,16,ITALIA,ITA
BSEVM72024000096,20221030222445296216,FEMMINA,16,ITALIA,ITA
BSGN412024000059,20091215225709157175,MASCHIO,34,ITALIA,ITA
BSPC012024000405,20160130164656029590,FEMMINA,20,ITALIA,ITA
BSPQ102024000181,20070528091506792899,FEMMINA,33,ITALIA,ITA
BTCC052024000013,20231215155737876276,FEMMINA,13,ITALIA,ITA
BTCC052024000111,20200213154320509483,FEMMINA,23,ITALIA,ITA
BTCC052024000127,20071112105116111947,FEMMINA,50,ITALIA,ITA
BTCC052024000141,20240601135006403824,FEMMINA,44,ITALIA,ITA
BTCC052024000220,20011204225328267668,MASCHIO,43,ITALIA,ITA
BTCS062025000059,20250226121621110598,FEMMINA,46,ITALIA,ITA
BTCS072024852373,20150516194522395584,FEMMINA,55,ITALIA,ITA
BTPC012024000425,20200305115839311793,FEMMINA,19,ITALIA,ITA
BTPC012024001566,20210206102122964310,FEMMINA,20,ITALIA,ITA
BTPC012025000481,20191119170137048238,FEMMINA,25,ITALIA,ITA
BTPC022024000151,20070503231920548456,FEMMINA,32,ITALIA,ITA
BTPC032025000069,20030202031243003298,MASCHIO,50,ITALIA,ITA
BTPC032025000196,20050630224702267823,FEMMINA,42,ITALIA,ITA
BTPQ002024001823,20220701093108984808,FEMMINA,61,ITALIA,ITA
BTPQ002024001931,20020829103743594633,FEMMINA,45,ITALIA,ITA
BTPQ002024002024,20240723085403707854,FEMMINA,14,ITALIA,ITA
BTPQ102024000119,20150907134724504577,FEMMINA,59,ITALIA,ITA
BTPQ102024000223,20061121101122493776,FEMMINA,35,ITALIA,ITA
BTPQ102024000339,20201014210126097025,FEMMINA,23,ITALIA,ITA
BTPQ102024100313,20110526202815070036,FEMMINA,34,ITALIA,ITA
BTPQ302022000079,20240624124820530614,FEMMINA,14,ITALIA,ITA
BTPQ302022000079,20240624124820530614,FEMMINA,16,ITALIA,ITA
BZCC012025000045,20250404151201988533,FEMMINA,19,ITALIA,ITA
BZCC042025000004,20071208175155484933,FEMMINA,33,ITALIA,ITA
BZCC142024000013,20180821110243544263,FEMMINA,29,SENEGAL,SEN
BZCC142024000013,20230715065529569338,FEMMINA,13,SENEGAL,SEN
BZCS122025000013,20250124094420003415,FEMMINA,14,ITALIA,ITA
BZCS252024000025,20190430133830483779,FEMMINA,38,VENEZUELA,VEN
BZCS272025000002,20180118150450511336,FEMMINA,34,ITALIA,ITA
BZCS552024000010,20240321161202259226,FEMMINA,13,ITALIA,ITA
BZCS612024000013,20120118105850725356,FEMMINA,37,ITALIA,ITA
BZCS612024000077,20010615153705579275,FEMMINA,42,ITALIA,ITA
BZCS682024000010,20220122155646135748,FEMMINA,19,ITALIA,ITA
BZCS712023000151,20100607124259538379,FEMMINA,27,ALBANIA,ALB
BZCS712024000049,20210925145241304836,FEMMINA,14,BANGLADESH,BGD
BZCS712024000222,20241118193337093046,FEMMINA,35,ITALIA,ITA
BZCS742024000005,20110816134342106079,FEMMINA,41,ITALIA,ITA
BZCS852023000019,20020714093407370509,FEMMINA,44,ITALIA,ITA
BZPC042024000070,20190917145913348524,FEMMINA,31,INDIA,IND
BZPQ102023001634,20140824170431094233,FEMMINA,31,ITALIA,ITA
BZPQ102024000420,20090119142528982840,FEMMINA,39,MAROCCO,MAR
BZPQ102024000467,20070627165508385793,FEMMINA,44,MAROCCO,MAR
BZPQ102024000621,20100310100957257707,FEMMINA,50,MAROCCO,MAR
CACS052024000031,20250214111542441227,FEMMINA,52,ITALIA,ITA
CACS132024000025,20090428133536434108,MASCHIO,18,ITALIA,ITA
CACS142024000099,20030624151408782380,MASCHIO,40,UCRAINA,UKR
CACS172024000003,20150614104834182001,FEMMINA,50,ITALIA,ITA
CACS222024000024,20081013131651887846,FEMMINA,42,ITALIA,ITA
CACS222024000024,20081013131651887846,FEMMINA,41,ITALIA,ITA
CACS222024850154,20070607085930556804,FEMMINA,37,ITALIA,ITA
CACS222024850154,20221013092718126458,FEMMINA,14,ITALIA,ITA
CACS292024850061,20030809114627463577,FEMMINA,48,ITALIA,ITA
CACS532024000001,20110110204701287747,FEMMINA,69,ITALIA,ITA
CACS622024000010,20131114082428435260,FEMMINA,82,ITALIA,ITA
CACS622024000017,20020826105254657655,MASCHIO,36,ITALIA,ITA
CACS672024850350,20050602082009546376,FEMMINA,44,ITALIA,ITA
CACS712025000001,20010618164353604554,FEMMINA,41,ITALIA,ITA
CACS712025000002,20080209105054592011,FEMMINA,48,ITALIA,ITA
CACS802025000260,20200131072633926470,FEMMINA,40,ROMANIA,ROU
CAPC052024000054,20130412113045304806,FEMMINA,28,ITALIA,ITA
CAPF302022000089,20220826115703375535,FEMMINA,27,CINA,CHN
CAPQ122023001851,19961024095017569139,MASCHIO,42,ITALIA,ITA
CAPQ122024000349,20020530075455723056,FEMMINA,49,ITALIA,ITA
CBCS122024000004,20070215092010345485,FEMMINA,42,BRASILE,BRA
CBCS182024850018,20060410225527989071,FEMMINA,38,ITALIA,ITA
CBCS272024850116,20060711124804099935,FEMMINA,58,ITALIA,ITA
CBGT602024000010,20140605001026878581,FEMMINA,55,ROMANIA,ROU
CBPC012024000583,20091217122803032404,FEMMINA,45,ITALIA,ITA
CECG102024000254,20180308143759899397,FEMMINA,41,NIGERIA,NGA
CECS082024000014,20151125091043883518,FEMMINA,51,ITALIA,ITA
CECS112023852280,20030724091314248338,FEMMINA,39,ITALIA,ITA
CECS402024000031,20130729115711369616,FEMMINA,55,ITALIA,ITA
CECS432024000057,20140423114828235223,FEMMINA,42,ITALIA,ITA
CECS432024000062,19980622103505095233,FEMMINA,44,ITALIA,ITA
CECS452024000052,20200517103532489762,FEMMINA,37,ITALIA,ITA
CECS512024850033,20200417151911800948,FEMMINA,43,ITALIA,ITA
CECS512024850058,20030705154306260306,FEMMINA,67,ITALIA,ITA
CECS622024851145,20211212010810069741,FEMMINA,20,ITALIA,ITA
CEPC032025000045,20161024230704466746,FEMMINA,28,ITALIA,ITA
CEPC042024000326,20051026153224613159,FEMMINA,33,ITALIA,ITA
CEPC042024001144,20241001210648165249,MASCHIO,17,EGITTO,EGY
CEPC052024300014,20080229163748170434,FEMMINA,46,ITALIA,ITA
CEPC052024300143,20190316120511172412,FEMMINA,31,ITALIA,ITA
CEPC072024000141,20050102222718201279,FEMMINA,49,ITALIA,ITA
CHCS082024000008,20010816105228770190,MASCHIO,47,ITALIA,ITA
CHCS112024851932,20151013142645517114,FEMMINA,24,ITALIA,ITA
CHCS122024000001,20240229132107944356,FEMMINA,12,ITALIA,ITA
CHCS122024000001,20240229132748504760,FEMMINA,14,ITALIA,ITA
CHCS152024000004,20231018114336412731,MASCHIO,54,FRANCIA,FRA
CHCS152024850081,20060314001607828381,FEMMINA,38,ROMANIA,ROU
CHCS162024000009,20240715223718436251,FEMMINA,16,ITALIA,ITA
CHCS162024850141,20230626154038060689,MASCHIO,94,ITALIA,ITA
CHCS232023000129,20150220161916274100,FEMMINA,24,ITALIA,ITA
CHCS232023000129,20150803155950549422,MASCHIO,29,ITALIA,ITA
CHCS232024000003,20020827214239694835,MASCHIO,51,ITALIA,ITA
CHCS232024000003,20220201042612502046,FEMMINA,50,ITALIA,ITA
CHCS382023000042,19990429161428022493,FEMMINA,48,COLOMBIA,COL
CHCS402024000027,20240602174332362280,MASCHIO,13,ITALIA,ITA
CHCT012024000001,20020403095656052289,FEMMINA,48,ITALIA,ITA
CHCT022024000001,20231029183301163953,FEMMINA,62,ITALIA,ITA
CHPQ102024000140,20161001122521375051,FEMMINA,20,COLOMBIA,COL
CHPQ102024000172,20100730095432978402,FEMMINA,31,ITALIA,ITA
CHPQ102024000172,20100730095432978402,FEMMINA,29,ITALIA,ITA
CHPQ102024000201,20030404183337900868,MASCHIO,52,ITALIA,ITA
CHPQ102024000340,20210121204644412135,FEMMINA,22,ITALIA,ITA
CHPQ102024000340,20210121204644412135,FEMMINA,24,ITALIA,ITA
CHPQ102024000342,20061129183306146224,FEMMINA,41,ROMANIA,ROU
CHPQ102024000342,20160125181403840547,FEMMINA,14,ITALIA,ITA
CHPQ102024000406,20140410231310321749,FEMMINA,44,ITALIA,ITA
CHPQ102024000546,20000313162354097351,FEMMINA,48,ITALIA,ITA
CHPQ102024000624,20081027102026720218,FEMMINA,37,ITALIA,ITA
CHPQ102024000632,20090320171920607116,FEMMINA,66,ITALIA,ITA
CHPQ102024000651,20120418125144357617,MASCHIO,56,ITALIA,ITA
CHPQ102024000843,20070826104547209908,FEMMINA,68,ITALIA,ITA
CHPQ102024000843,20070826104547209908,FEMMINA,64,ITALIA,ITA
CHPQ102024000886,20060715085128493621,FEMMINA,76,ITALIA,ITA
CHPQ102024000930,20060617015620197420,FEMMINA,67,ITALIA,ITA
CHPQ102025000028,20061201234551737127,FEMMINA,43,ITALIA,ITA
CHPQ702024000001,20190821084216602640,FEMMINA,25,ITALIA,ITA
CLCC012024000084,20120110222613040301,FEMMINA,31,ITALIA,ITA
CLCS012024000001,20171206115146479408,FEMMINA,41,ITALIA,ITA
CLCS082024000075,20240727155432238339,FEMMINA,35,ROMANIA,ROU
CLCS132024000019,20110426133050005625,FEMMINA,31,ITALIA,ITA
CLCS172024000025,20110914163127353892,FEMMINA,29,ITALIA,ITA
CLPC012024001135,20150127233653158183,FEMMINA,32,ITALIA,ITA
CLPC012024001809,20150805133016014904,FEMMINA,27,ITALIA,ITA
CLPC012024002386,20031116105417279589,FEMMINA,48,ITALIA,ITA
CLPC012024002481,20010913102223608494,FEMMINA,72,ITALIA,ITA
CLPQ102024000359,20191029213139510048,FEMMINA,23,ITALIA,ITA
CNCS042024000032,20140424115809469944,FEMMINA,55,ROMANIA,ROU
CNCS092023000059,20100911031804285308,FEMMINA,46,MACEDONIA,MKD
CNCS142024000002,20180112093123169501,FEMMINA,24,INDIA,IND
CNCS312024000002,20131207192736899635,FEMMINA,29,ITALIA,ITA
CNCS332025000010,20241005152031657578,FEMMINA,41,MAROCCO,MAR
CNCS352025000007,19990607130737076635,FEMMINA,50,ITALIA,ITA
CNCS392024000021,19990412113751002064,FEMMINA,44,ITALIA,ITA
CNCS472024850799,20050812155418448403,FEMMINA,37,ITALIA,ITA
CNCS532023000050,20180924061457714830,FEMMINA,20,SENEGAL,SEN
CNCS532024000081,20030522001627249909,FEMMINA,55,ITALIA,ITA
CNCS582025000014,20091213212633842679,FEMMINA,29,ITALIA,ITA
CNCS732024000021,20030906114839829734,FEMMINA,45,ITALIA,ITA
CNCS762024000018,20021107005115444916,FEMMINA,42,ITALIA,ITA
CNPQ102024000019,20170722034223364253,MASCHIO,27,GUINEA,GIN
CNPQ102024000095,20030905120842057944,FEMMINA,38,ITALIA,ITA
CNPQ302025000001,20090604004127817025,FEMMINA,35,LUSSEMBURGO,LUX
CNPQ302025000007,20170823090526336391,FEMMINA,27,ITALIA,ITA
COCC012024000092,20071002202225655579,FEMMINA,49,ROMANIA,ROU
COCC042023000079,19940205153056009614,FEMMINA,54,ROMANIA,ROU
COCS072024000088,20240707131821746025,FEMMINA,22,ITALIA,ITA
COCS202023000225,20031205113058633427,FEMMINA,34,ITALIA,ITA
COCS252024000016,20071023142533776870,FEMMINA,59,ITALIA,ITA
COCS262024000025,20051002232722164571,FEMMINA,31,ITALIA,ITA
COCS262024000090,20240804162712772747,FEMMINA,30,PAKISTAN,PAK
COCS262024000138,20241022133831379716,FEMMINA,77,ITALIA,ITA
COCS262024000173,20250101040452530665,FEMMINA,57,ITALIA,ITA
COCS272024000210,20070905222803108183,FEMMINA,37,ITALIA,ITA
COCS282023000058,20010711032511193923,FEMMINA,42,ITALIA,ITA
COCS292024000059,20011111003040257547,MASCHIO,61,ITALIA,ITA
COCS312024000042,19970507110840718078,FEMMINA,75,ITALIA,ITA
COCS312024000100,20100501104626858611,FEMMINA,55,ITALIA,ITA
COCS312025000015,20030827110406600158,FEMMINA,40,ITALIA,ITA
COPQ102024200171,20160622135540235031,MASCHIO,10,ITALIA,ITA
COPQ302021000087,20000204000448005598,FEMMINA,49,ITALIA,ITA
COPQ302023000137,19950227105723556225,FEMMINA,55,ITALIA,ITA
COPQ302024000072,19901028160331079614,FEMMINA,52,ITALIA,ITA
COPQ302024000127,20231101095958173846,FEMMINA,19,ITALIA,ITA
CRCP032024000005,20070809221027743074,FEMMINA,53,ITALIA,ITA
CRCS202024000041,20070801174947214709,MASCHIO,34,ITALIA,ITA
CRCS212024000126,20241226105210500547,FEMMINA,36,UCRAINA,UKR
CRCS262024000013,20080524180204926179,FEMMINA,46,ITALIA,ITA
CRCS272024000009,20230803155249690288,FEMMINA,32,ITALIA,ITA
CRPC012024100043,20070723144329738247,FEMMINA,51,ITALIA,ITA
CRPC012024100058,20160223174636598208,FEMMINA,31,NIGERIA,NGA
CRPC012024200523,20011110100927076499,FEMMINA,43,ITALIA,ITA
CRPC012024200742,20080922022756933026,FEMMINA,36,ITALIA,ITA
CRPC012024200797,20021203114641657339,FEMMINA,48,ROMANIA,ROU
CRPQ102024600232,20020731102013519731,FEMMINA,50,ITALIA,ITA
CRPQ102024600971,20201001220232806672,FEMMINA,40,MAROCCO,MAR
CSCC042023000036,20050613112950702767,FEMMINA,32,ITALIA,ITA
CSCS062024000010,20081023160849299437,FEMMINA,37,ITALIA,ITA
CSCS072024000015,20130829080101077316,FEMMINA,27,ITALIA,ITA
CSCS122024000011,19991124094215068687,MASCHIO,53,ITALIA,ITA
CSCS242024000005,20171014094901782332,FEMMINA,40,ITALIA,ITA
CSCS242024000030,20121129102927242069,FEMMINA,25,ITALIA,ITA
CSCS282024000010,20161109115241791271,FEMMINA,27,NIGERIA,NGA
CSCS282024000013,19940204102851033968,MASCHIO,74,ITALIA,ITA
CSCS282024000020,20070817025531886019,FEMMINA,35,ITALIA,ITA
CSCS312024000003,20021217191920448224,FEMMINA,41,GERMANIA,DEU
CSCS432024000017,20230420161152979371,FEMMINA,27,NIGERIA,NGA
CSCS452024000040,20060302032903720037,FEMMINA,45,UCRAINA,UKR
CSCS472024000002,20081204124351225495,FEMMINA,60,ITALIA,ITA
CSCS482024850032,20240221085610514726,FEMMINA,56,ITALIA,ITA
CSCS492023000025,20011026235709153723,FEMMINA,45,ITALIA,ITA
CSCS492023000026,20240129163404929319,FEMMINA,15,ITALIA,ITA
CSCS502024000011,20140609204336970416,FEMMINA,56,ITALIA,ITA
CSCS582023000072,20050124091403482205,FEMMINA,64,ITALIA,ITA
CSCS622024000059,20071001181556043843,FEMMINA,61,ITALIA,ITA
CSCS622024000059,20241108162224599898,MASCHIO,39,ITALIA,ITA
CSCS692024000001,20240218110357110633,MASCHIO,49,ROMANIA,ROU
CSCS802024000011,20200607090009404796,FEMMINA,35,ITALIA,ITA
CSCS822024000024,20241106002718604250,FEMMINA,11,ITALIA,ITA
CSCS872024000001,20051201201307448405,FEMMINA,41,ITALIA,ITA
CSCS872024000002,20240214112111579266,FEMMINA,22,MAROCCO,MAR
CSPQ302024000010,20181009202122493425,FEMMINA,26,ITALIA,ITA
CTCC052024000080,20240826075613003230,FEMMINA,51,ITALIA,ITA
CTCC112024000148,20140208104732991312,FEMMINA,43,ROMANIA,ROU
CTCS012024850029,20211215191048427529,FEMMINA,23,ITALIA,ITA
CTCS012024850109,20240725154336113187,FEMMINA,16,ITALIA,ITA
CTCS032024000034,20091126132840605414,FEMMINA,49,ITALIA,ITA
CTCS072024000040,20241207000129736676,FEMMINA,18,ITALIA,ITA
CTCS152024850580,20160904205313944512,FEMMINA,39,ROMANIA,ROU
CTCS192024850074,20011215085412340196,FEMMINA,47,ITALIA,ITA
CTCS202024850343,20051104170619298519,FEMMINA,34,ITALIA,ITA
CTCS242024000065,20101103212130957099,FEMMINA,65,ITALIA,ITA
CTCS372024000000,20240224132020385699,FEMMINA,46,ITALIA,ITA
CTCS382024000004,19970512120958351808,MASCHIO,61,ITALIA,ITA
CTCS382024000005,20011126210253569569,FEMMINA,52,ITALIA,ITA
CTCS382024000042,20170330154640551253,FEMMINA,24,NIGERIA,NGA
CTCS382024000064,20240731004005682904,FEMMINA,36,ITALIA,ITA
CTCS392024000045,20040218103737318338,FEMMINA,46,ITALIA,ITA
CTCS402024850437,19961014112636004282,FEMMINA,62,ITALIA,ITA
CTCS422023000106,19950926194639019216,FEMMINA,60,ITALIA,ITA
CTCS422024000087,19960807184218082777,FEMMINA,55,ITALIA,ITA
CTCS472024000034,20180326124925010989,FEMMINA,66,ITALIA,ITA
CTCS472024000034,20180717004217191929,FEMMINA,23,ITALIA,ITA
CTCS472024000034,20200130103550813511,FEMMINA,42,ITALIA,ITA
CTCS492024000053,20120928165912391086,FEMMINA,48,ITALIA,ITA
CTCS492024000078,20061022105019475719,FEMMINA,39,ITALIA,ITA
CTCS492024000115,20031228231454723478,FEMMINA,41,ITALIA,ITA
CTCS612024000001,20171212083936281078,FEMMINA,29,ITALIA,ITA
CTCS612024000002,20091116104512435556,FEMMINA,62,ITALIA,ITA
CTCS612024000071,20070614230547613367,FEMMINA,35,ITALIA,ITA
CTCS612024850416,20100618100415048590,FEMMINA,43,ITALIA,ITA
CTCS612024850440,20180303121537299383,FEMMINA,31,ITALIA,ITA
CTCS612024851441,19910904111934416347,FEMMINA,62,ITALIA,ITA
CTCS612024852172,19970916114348093931,FEMMINA,48,ITALIA,ITA
CTCS612024852172,20040218092822855333,MASCHIO,54,ITALIA,ITA
CTCS642024000095,20140310211524424813,FEMMINA,21,ITALIA,ITA
CTCS642025000024,20020731093854224845,FEMMINA,47,SRI LANKA (CEYLON),LKA
CTCS652024000019,20010710174219561914,FEMMINA,41,ITALIA,ITA
CTCS652024850636,20180610164210194979,FEMMINA,25,ITALIA,ITA
CTCS652025850501,20070815213614505642,FEMMINA,35,ITALIA,ITA
CTPC012025500108,20100325194509442688,FEMMINA,43,ITALIA,ITA
CTPC022023001023,20231228150641571919,FEMMINA,37,ITALIA,ITA
CTPC022024000065,20231205172329349811,FEMMINA,64,ITALIA,ITA
CTPC022024000147,19960410132157092680,MASCHIO,59,ITALIA,ITA
CTPC022024000147,20050428002826374195,FEMMINA,34,ITALIA,ITA
CTPC032024010037,20241109165158934688,FEMMINA,68,ITALIA,ITA
CTPC032024200004,20080219121000688837,FEMMINA,38,ITALIA,ITA
CTPC032024200017,20170518161805531049,FEMMINA,53,ITALIA,ITA
CTPC042024000427,20140313093003565062,FEMMINA,34,SRI LANKA (CEYLON),LKA
CTPC042025000066,20190320131553222154,FEMMINA,32,ITALIA,ITA
CTPC062024700208,20190409133433886993,FEMMINA,18,INDIA,IND
CTPC062024700212,20070203205043658405,FEMMINA,63,ITALIA,ITA
CTPC092024200023,20131122020331446756,FEMMINA,29,ITALIA,ITA
CTPC092024200244,20110216155859714058,FEMMINA,22,ITALIA,ITA
CTPC092024200424,20070414100344958290,FEMMINA,44,ITALIA,ITA
CTPC092024200762,20101224141103635024,FEMMINA,41,ITALIA,ITA
CTPQ102023073463,19960906114855024368,MASCHIO,51,ITALIA,ITA
CTPQ102024002252,20100921122930312029,FEMMINA,31,ITALIA,ITA
CTPQ102024002257,20100701110500367345,MASCHIO,36,ITALIA,ITA
CTPQ102024074201,20240215132651529230,FEMMINA,50,MAROCCO,MAR
CTPQ102025011499,20150914130939384123,FEMMINA,33,ITALIA,ITA
CZCS122024240224,20231116153808113743,FEMMINA,23,UCRAINA,UKR
CZCS282023000057,20080501095237637916,FEMMINA,45,ITALIA,ITA
CZCS422025850026,19900630101251118078,FEMMINA,54,ITALIA,ITA
CZCS452024000009,20210216110540166880,FEMMINA,31,ITALIA,ITA
CZCS502024000002,20110904091928255579,FEMMINA,33,ITALIA,ITA
CZCS502024000012,20190826080546311858,FEMMINA,50,ITALIA,ITA
CZPC022023001395,20240101120210150141,FEMMINA,8,ITALIA,ITA
CZPC022024000269,20020625133057608230,MASCHIO,63,ITALIA,ITA
CZPQ102024000151,20080821113729352907,FEMMINA,51,ITALIA,ITA
ENCC012024000024,20240724084811405604,MASCHIO,53,ITALIA,ITA
ENCS052024000015,20180908090912642565,FEMMINA,32,NIGERIA,NGA
ENCS052024000016,20130301013937154655,FEMMINA,30,ITALIA,ITA
ENCS052024000030,20241001130744831304,FEMMINA,15,ITALIA,ITA
ENCS202024000010,20240816202756074241,FEMMINA,58,ITALIA,ITA
ENPC032024000136,20240830150927194216,FEMMINA,24,SVIZZERA,CHE
ENPQ102024000072,20231019095029943787,FEMMINA,66,ITALIA,ITA
ENPQ302024200022,20041020200640804052,FEMMINA,56,ITALIA,ITA
FECC022024000046,20161015150742513939,FEMMINA,34,NIGERIA,NGA
FECS052024000039,20110808000423415995,FEMMINA,29,ITALIA,ITA
FECS122023000100,20120711011106237988,FEMMINA,28,ROMANIA,ROU
FECS122024000004,20141005200341735184,FEMMINA,29,ITALIA,ITA
FECS142024100006,20041018060320821715,FEMMINA,51,ITALIA,ITA
FECS152024000021,20120313172719146183,FEMMINA,34,NIGERIA,NGA
FECS242024000048,20191018184127959823,FEMMINA,29,TURCHIA,TUR
FECS242024851307,20070523081752125560,FEMMINA,37,MAROCCO,MAR
FECS382024000002,20171110152846165540,FEMMINA,21,ITALIA,ITA
FECS392024000019,20111223135430675975,FEMMINA,34,NIGERIA,NGA
FECS402024000031,20180108164309202720,MASCHIO,23,ITALIA,ITA
FGCS242025000006,19811015111904003130,MASCHIO,81,ITALIA,ITA
FGCS242025000006,20081127174116711208,FEMMINA,38,ITALIA,ITA
FGCS472024851450,20100818183703918804,FEMMINA,71,ITALIA,ITA
FGCS582024900001,20000413172604009599,FEMMINA,40,ITALIA,ITA
FGCS602024000005,19980714125717035002,MASCHIO,46,ITALIA,ITA
FGPQ102023001263,20191216000513948867,FEMMINA,39,ITALIA,ITA
FGPQ102023001271,20240102102537053861,FEMMINA,34,ITALIA,ITA
FGPQ102023001274,20020729122812851326,FEMMINA,37,ITALIA,ITA
FGPQ102023001278,20040930140108247751,FEMMINA,51,ITALIA,ITA
FGPQ102023001281,20240110084855476527,FEMMINA,42,ITALIA,ITA
FGPQ102023001325,20130430153539484212,FEMMINA,27,ITALIA,ITA
FGPQ102023001347,20110503103523645772,FEMMINA,32,BRASILE,BRA
FGPQ102024000004,19960122161139099450,FEMMINA,51,ITALIA,ITA
FGPQ102024000005,20151229203701629336,FEMMINA,35,MACEDONIA,MKD
FGPQ102024000008,20020729122812851326,MASCHIO,38,ITALIA,ITA
FGPQ102024000009,20090617124604461015,FEMMINA,38,ITALIA,ITA
FGPQ102024000019,20170908083812914046,FEMMINA,31,NIGERIA,NGA
FGPQ102024000024,20191107082743779993,FEMMINA,25,ITALIA,ITA
FGPQ102024000027,20051226105533089764,FEMMINA,35,GERMANIA,DEU
FGPQ102024000041,20160627144243160242,FEMMINA,29,ITALIA,ITA
FGPQ102024000048,20081222095210632375,FEMMINA,42,ITALIA,ITA
FGPQ102024000051,20180127164437949477,FEMMINA,56,ITALIA,ITA
FGPQ102024000062,20081222095210632375,FEMMINA,42,ITALIA,ITA
FGPQ102024000072,20240126113032904854,FEMMINA,39,ITALIA,ITA
FGPQ102024000083,20041030022330007611,FEMMINA,40,ITALIA,ITA
FGPQ102024000088,20131004102539691804,FEMMINA,22,ITALIA,ITA
FGPQ102024000103,20070213200329744148,FEMMINA,44,ITALIA,ITA
FGPQ102024000111,20070211223640423413,FEMMINA,36,ROMANIA,ROU
FGPQ102024000118,20020806022507385467,FEMMINA,73,ITALIA,ITA
FGPQ102024000119,20160227101522524499,FEMMINA,42,ITALIA,ITA
FGPQ102024000133,20181111124805820782,FEMMINA,19,ITALIA,ITA
FGPQ102024000169,20030305170831663170,MASCHIO,61,ITALIA,ITA
FGPQ102024000546,19970930101948100936,FEMMINA,50,ITALIA,ITA
FGPQ102024000583,20181202153638446752,FEMMINA,34,ITALIA,ITA
FGPQ102024000720,20100831084937991127,FEMMINA,34,ITALIA,ITA
FGPQ102024000904,20080117085111637830,FEMMINA,33,ITALIA,ITA
FGPQ102024001007,20041120224402378995,FEMMINA,35,ITALIA,ITA
FGPQ102024001099,20230118222408855873,FEMMINA,22,ITALIA,ITA
FGPQ102024001241,20020729122812851326,FEMMINA,39,ITALIA,ITA
FGPQ102024501616,20060811123227953397,FEMMINA,44,ITALIA,ITA
FGPQ102024503356,20121025095325248468,FEMMINA,45,ITALIA,ITA
FGPQ302024000263,20210614230112351144,FEMMINA,23,ITALIA,ITA
FICC032024000026,19940308110724071270,MASCHIO,48,ITALIA,ITA
FICS122024000010,20240405120235183284,FEMMINA,74,ITALIA,ITA
FICS152023000084,20210830092703090983,FEMMINA,39,ROMANIA,ROU
FICS152024000002,20090813114538123895,FEMMINA,32,PERU',PER
FICS202024000024,19971124093330740568,MASCHIO,54,ITALIA,ITA
FICS292024000025,20240319175607279411,FEMMINA,45,PERU',PER
FICS292024000032,20180420100308372811,FEMMINA,37,COLOMBIA,COL
FICS292024855871,20170413175031828230,FEMMINA,21,HONDURAS,HND
FICS302024000064,20240401163035136080,FEMMINA,14,MOLDAVIA,MDA
FICS302024000095,20170413122943202114,FEMMINA,34,EL SALVADOR,SLV
FICS322024852520,19800531155825005251,MASCHIO,71,ITALIA,ITA
FICS322024852520,20040422202450701669,FEMMINA,67,STATI UNITI D'AMERICA,USA
FICS382025000052,20070713090145168950,MASCHIO,26,ITALIA,ITA
FICS442024000044,20040515093658123954,FEMMINA,40,ALBANIA,ALB
FICS492024000017,20070310011039982127,FEMMINA,38,ITALIA,ITA
FICS542024000004,20090616121247851082,FEMMINA,28,ITALIA,ITA
FICS572024000038,20170530072048765335,FEMMINA,13,ITALIA,ITA
FICS612023000145,20190506175932038086,FEMMINA,39,ITALIA,ITA
FICS622025000006,20060811172524914267,FEMMINA,64,ITALIA,ITA
FICS632024000042,20150716131055331362,FEMMINA,24,ITALIA,ITA
