PROT_SDI,ART,T_NORMA,RIF_LEGGE,DES_REA_EVE
RMPC272023000834,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
SACS152024000007,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MCCS292025000027,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
NACS532024851206,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
RMPC502024000272,612,CP,,MINACCIA - ATTI PERSECUTORI -
VICS232024000075,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BAPQ302024000221,612,CP,,MINACCIA - ATTI PERSECUTORI -
FICS302024000095,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MECS522023000107,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024002179,610,CP,,VIOLENZA PRIVATA
PGPQ102023002383,612,CP,,MINACCIA
GOPC012024000690,582,CP,,LESIONI PERSONALI
VRPQV02024000834,581,CP,,PERCOSSE
KRCS072024000006,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PVCS382024000027,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PSCS092024000085,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
SACS372024850227,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
VBPQ102024001310,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS472024851247,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MOCS362024000155,610,CP,,VIOLENZA PRIVATA
LICS312024850367,570,CP,,VIOLAZIONE DEGLI OBBLIGHI DI ASSISTENZA FAMILIARE
BZCS742024000005,570,CP,,VIOLAZIONE DEGLI OBBLIGHI DI ASSISTENZA FAMILIARE IN CASO DI SEPARAZIONE/SCIOGLIMENTO DEL MATRIMONIO - C.P. ART. 570 BIS
PZCS662024000069,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
SRCS082024000095,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BOPC022024000174,582,CP,,LESIONI PERSONALI
TAPC022024000040,582,CP,,LESIONI PERSONALI
FGPQ102024000583,612,CP,,MINACCIA - ATTI PERSECUTORI -
AGCS312022000001,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BOPC062024000497,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VECS052024000167,582,CP,,LESIONI PERSONALI
CHCT022024000001,612,CP,,MINACCIA - ATTI PERSECUTORI -
MIPC022024000250,582,CP,,LESIONI PERSONALI
BOCS362024000055,387,CP,,VIOLAZIONE DEI PROVVEDIMENTI DI ALLONTANAMENTO DALLA CASA FAMILIARE E DEL DIVIETO DI AVVICINAMENTO AI LUOGHI FREQUENTATI DALLA PERSONA OFFESA-C.P. ART.387 BIS
NAPC402024550280,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS472024852442,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VRCC012024000193,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BSCS012024000023,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI IN DANNO DI MINORE/DONNA IN GRAVIDANZA/PERSONA CON DISABILITA'
FGPQ102023001263,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CACS622024000010,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VAPQV02023000739,612,CP,,MINACCIA - ATTI PERSECUTORI -
CNCS092023000059,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
AVCS672024000004,609,CP,,ATTI SESSUALI CON MINORENNE
BAEV102023001003,609,CP,,VIOLENZA SESSUALE
ENCS052024000016,582,CP,,LESIONI PERSONALI
MNCS432024000014,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024001018,582,CP,,LESIONI PERSONALI
CLCC012024000084,612,CP,,MINACCIA
BLCS182023000069,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
BZCS682024000010,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BSCC042024000079,582,CP,,LESIONI PERSONALI
TSCC052024000029,575,CP,,OMICIDIO DOLOSO
TAPC022024000184,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
RECS102024000031,582,CP,,LESIONI PERSONALI
VVCS332024850102,612,CP,,DIFFUSIONE ILLECITA DI IMMAGINI O VIDEO SESSUALMENTE ESPLICITI - C.P. 612 TER
VICS102024850142,629,CP,,ESTORSIONE
TOCS472024000023,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
FOCS012024000089,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TOPQ102024000126,609,CP,,VIOLENZA SESSUALE
CBCS182024850018,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
FGPQ102024000103,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
MICS572024000231,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BGCC042024000144,582,CP,,LESIONI PERSONALI
CTCS012024850109,609,CP,,VIOLENZA SESSUALE AGGRAVATA
RMPC212024000762,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
KRCS232024000091,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
ARCS352024000156,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MNCS212024000045,582,CP,,LESIONI PERSONALI
PACS262024000097,387,CP,,VIOLAZIONE DEI PROVVEDIMENTI DI ALLONTANAMENTO DALLA CASA FAMILIARE E DEL DIVIETO DI AVVICINAMENTO AI LUOGHI FREQUENTATI DALLA PERSONA OFFESA-C.P. ART.387 BIS
BOCS532024000041,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCC112024000264,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
SSCG032023000212,612,CP,,MINACCIA
VECS192024850395,612,CP,,MINACCIA - ATTI PERSECUTORI -
NAPQ102024000264,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
PGPQ102024001546,582,CP,,LESIONI PERSONALI
PGPQ102024001546,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
ARCS392023850504,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
PGPQ102023002369,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BZCS712024000049,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VICS422024000042,582,CP,,LESIONI PERSONALI
PGPQ102023002411,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VACS212024000131,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BZCC012025000045,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CTPC062024700208,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BSCS352024000115,581,CP,,PERCOSSE
TOCS712024000346,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CTPC092024200023,582,CP,,LESIONI PERSONALI
TOCS152024000024,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MBCS132025850510,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
NACS682024000142,629,CP,,ESTORSIONE
RACS172024000006,581,CP,,PERCOSSE
MICS0H2024000019,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CSCS282024000013,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102023002420,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CTCS382024000042,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TOCC042023000365,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CHPQ102024000632,582,CP,,LESIONI PERSONALI
CTPC022024000065,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PAEV102025046515,591,CP,,ABBANDONO DI PERSONE MINORI O INCAPACI
MIPC022022001874,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS0J2024850895,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BSCS032024000023,609,CP,,VIOLENZA SESSUALE
SACS642024000104,612,CP,,MINACCIA - ATTI PERSECUTORI -
BACC192023000345,612,CP,,MINACCIA
BACC192023000345,582,CP,,LESIONI PERSONALI
TOCS282024000027,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MEPQ302024000022,612,CP,,MINACCIA - ATTI PERSECUTORI -
PTPQ102024001283,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024000315,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MCCS072024000022,582,CP,,LESIONI PERSONALI
RMCS2T2024000228,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BGCS262024000051,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BSEVB32024000187,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
FOPQ302024000078,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PDCS152024000017,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
SACS372024850322,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TRCS032024000082,609,CP,,VIOLENZA SESSUALE
MECS272025850494,612,CP,,MINACCIA
NAPC392024000360,609,CP,,VIOLENZA SESSUALE
AQPC012025000015,609,CP,,VIOLENZA SESSUALE
ALCS562024000009,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
COPQ302021000087,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
KRGG412024000100,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
NACS972024851400,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCP032024000069,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
GEPQ102024502310,612,CP,,MINACCIA
RCPQ102024010019,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
NAPC062024700253,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
RAPC022024200022,609,CP,,VIOLENZA SESSUALE AGGRAVATA
MNCS162024000011,387,CP,,VIOLAZIONE DEI PROVVEDIMENTI DI ALLONTANAMENTO DALLA CASA FAMILIARE E DEL DIVIETO DI AVVICINAMENTO AI LUOGHI FREQUENTATI DALLA PERSONA OFFESA-C.P. ART.387 BIS
BOPQ312025000305,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MSPC022024105442,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
POPQ102024102030,609,CP,,VIOLENZA SESSUALE AGGRAVATA
GECS512024850079,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PAPC182024301631,612,CP,,MINACCIA
PGPQ102025000495,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TOCS0A2024000001,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
POPQ102024102328,635,CP,,DANNEGGIAMENTO
RAPQ102023001093,582,CP,,LESIONI PERSONALI
RAPQ102024001562,583,CP,,CIRCOSTANZE AGGRAVANTI PREVISTE PER ART.582
RMPC232024010181,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMPC522024000191,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMPC082024000879,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS3A2023000115,612,CP,,MINACCIA - ATTI PERSECUTORI -
RMPC472024402154,612,CP,,MINACCIA - ATTI PERSECUTORI -
NAPC062024700251,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
ORCS362024000004,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
FOCS302024000176,582,CP,,LESIONI PERSONALI
TOCP052024000910,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
GRCS192024000023,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
SPCC012024000026,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
ARCS442025000002,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
AVPC012025000025,612,CP,,MINACCIA - ATTI PERSECUTORI -
SRPC012024000155,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
NACS532024851801,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
ANCS332024000043,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMPC112024001481,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
LUPQ102024000624,612,CP,,MINACCIA
PZCS652024800010,582,CP,,LESIONI PERSONALI
PDCS162024850064,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MNCS092024000018,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI IN DANNO DI MINORE/DONNA IN GRAVIDANZA/PERSONA CON DISABILITA'
COCS262024000025,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
LUCS042024000037,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PICS062024000060,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS142025000020,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS192024000057,612,CP,,MINACCIA
CHCS382023000042,612,CP,,MINACCIA
BSCS592024000088,581,CP,,PERCOSSE
PICC012025000161,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MBCS052024850509,609,CP,,VIOLENZA SESSUALE
ISCS212024000051,609,CP,,VIOLENZA SESSUALE
GECS542025000089,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
LICS062024000023,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PRCS022024000161,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BRPC022024000160,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CACS172024000003,612,CP,,MINACCIA
TNCS462024000005,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BSCC102024000099,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
RCCS412024850233,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
GECS352024000094,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CTCS382024000004,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RECS222024000002,387,CP,,VIOLAZIONE DEI PROVVEDIMENTI DI ALLONTANAMENTO DALLA CASA FAMILIARE E DEL DIVIETO DI AVVICINAMENTO AI LUOGHI FREQUENTATI DALLA PERSONA OFFESA-C.P. ART.387 BIS
PVCS342024000190,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VRPQV02024002317,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PRCS342024000053,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TPCS122024000017,582,CP,,LESIONI PERSONALI
BRCC022023850016,609,CP,,VIOLENZA SESSUALE
FRPC012024200261,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
GEPC022024200040,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
TACS012024000043,609,CP,,VIOLENZA SESSUALE
TNCS362024000023,582,CP,,LESIONI PERSONALI
RECS232025000016,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
GOPQ302023000023,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMPC482024000069,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
PCCS232024000008,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS962024000146,609,CP,,VIOLENZA SESSUALE
RMPC442024001043,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS1U2025851823,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024500149,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
UDPG202024000037,612,CP,,MINACCIA - ATTI PERSECUTORI -
PVCC022024990016,575,CP,,OMICIDIO DOLOSO
CTCS192024850074,612,CP,,MINACCIA - ATTI PERSECUTORI -
MBPQ102024400265,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MBPQ702023000030,581,CP,,PERCOSSE
MIPC022024600002,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
FRCS372024000005,612,CP,,MINACCIA - ATTI PERSECUTORI -
MIPC112024005069,612,CP,,MINACCIA - ATTI PERSECUTORI -
MCCS082024000006,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RNCS132024000043,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VICS292024000040,582,CP,,LESIONI PERSONALI
ANPC012023000763,612,CP,,MINACCIA
FECS382024000002,612,CP,,DIFFUSIONE ILLECITA DI IMMAGINI O VIDEO SESSUALMENTE ESPLICITI - C.P. 612 TER
SVCS262024000015,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
LICS312024850367,610,CP,,VIOLENZA PRIVATA
PZCS332024000018,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
LIPQ702024000005,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VICS072024000017,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BOCS782024000008,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
LIPQ702024000006,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
GRCS332024000049,612,CP,,MINACCIA - ATTI PERSECUTORI -
RACC022025000017,610,CP,,VIOLENZA PRIVATA
TACS132025000043,609,CP,,VIOLENZA SESSUALE
TNPC022024000507,582,CP,,LESIONI PERSONALI
TVCS132024000056,612,CP,,MINACCIA - ATTI PERSECUTORI -
BOCS022024000028,612,CP,,MINACCIA
CTCS492024000078,612,CP,,MINACCIA - ATTI PERSECUTORI -
AQCC022024000027,605,CP,,SEQUESTRO DI PERSONA - FATTISPECIE BASE - ART. 605 CP
SVCS252024000052,582,CP,,LESIONI PERSONALI
MBCS112023857285,609,CP,,VIOLENZA SESSUALE
RMCC142024000108,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TAPQV02024000975,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VBPQ302024000021,593,CP,,INTERRUZIONE DI GRAVIDANZA NON CONSENSUALE - C.P. ART. 593 TER
BSPC012024000405,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
PEPQ302024000106,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
FICS122024000010,582,CP,,LESIONI PERSONALI
CHPQ102024000340,612,CP,,MINACCIA - ATTI PERSECUTORI -
LTCS312024850603,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VBCS142024000078,612,CP,,MINACCIA
PTCS152024000005,610,CP,,VIOLENZA PRIVATA
SACS272024000050,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BACS262024000038,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024001690,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BGCS502024850309,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
SVCC012024000065,582,CP,,LESIONI PERSONALI
PGPQ102024002052,612,CP,,MINACCIA
CZCS122024240224,581,CP,,PERCOSSE
LTPQV02024000135,612,CP,,MINACCIA
PGPQ102024001985,612,CP,,MINACCIA - ATTI PERSECUTORI -
RMPC522024000254,612,CP,,MINACCIA - ATTI PERSECUTORI -
PGPQ102023002406,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
UDCS112024000031,582,CP,,LESIONI PERSONALI
SAGC582024000001,612,CP,,MINACCIA - ATTI PERSECUTORI -
ATEV102024000019,612,CP,,MINACCIA
MCCS112024000016,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024000133,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PGPQ102024001764,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMPC372024001065,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MICS652025000002,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
SRCS022024851022,612,CP,,MINACCIA
AGCS202024850243,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
CECS432024000062,582,CP,,LESIONI PERSONALI
PAPC022024000006,582,CP,,LESIONI PERSONALI
GRCS462024000030,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MOCS402024000057,582,CP,,LESIONI PERSONALI
MBCS102024000190,582,CP,,LESIONI PERSONALI
RMCS0D2024000025,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
PGPQ102024002101,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
FRPC022024000645,609,CP,,VIOLENZA SESSUALE AGGRAVATA
COCS262024000138,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMCS012024851136,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TOCC062024000063,577,CP,,ALTRE CIRCOSTANZE AGGRAVANTI PREVISTE PER ART. 575
CHPQ102024000843,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PZCS662024000057,612,CP,,MINACCIA
ARCS102023000097,582,CP,,LESIONI PERSONALI
CHPQ102024000632,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
RMPC522024000392,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
FGPQ102023001325,612,CP,,MINACCIA - ATTI PERSECUTORI -
PGPQ102025000254,609,CP,,VIOLENZA SESSUALE
MTCS052024000007,612,CP,,MINACCIA - ATTI PERSECUTORI COMMESSI DAL CONIUGE LEGALMENTE SEPARATO/DIVORZIATO O DA PERSONA CHE SIA STATA LEGATA DA RELAZIONE AFFETTIVA ALLA PERSONA LESA
SVCS172024000022,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
PACS992024000061,612,CP,,MINACCIA
FGPQ102024000019,612,CP,,MINACCIA
TPPC052024000163,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MEPQ302024000022,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MEPQ302024000022,612,CP,,MINACCIA
MICS372024000035,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
VRPQV02024000680,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
TSCS072024850070,609,CP,,VIOLENZA SESSUALE
ROPQ102024001097,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
MICS822024851470,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
UDCT012024000003,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
BTPQ102024000339,572,CP,,MALTRATTAMENTI IN FAMIGLIA O VERSO I FANCIULLI
