PROT_SDI,COD_COLP_DA_PROVV,SEX_COLP_PROVV,ETA_COLP_PROVV,NAZIONE_NASCITA_COLP_PROVV,NAZIONE_NASCITA_COLP_PROVV_ISO
AVCS352024000001,20060625031517725319,MASCHIO,34,ITALIA,ITA
AVCS422024850192,,NON INDICATO,,,
AVCS472024000008,19980608094215027242,MASCHIO,54,ITALIA,ITA
AVCS492025000013,20080826102639045211,MASCHIO,35,ITALIA,ITA
AVCS542024000024,20101030021517272488,MASCHIO,33,ITALIA,ITA
AVCS672024000004,20200602013035773566,MASCHIO,18,ITALIA,ITA
AVCS692024000042,20190918121705856630,FEMMINA,22,GAMBIA,GMB
AVCS722024000010,20070418160425504548,MASCHIO,40,ITALIA,ITA
AVPC012025000022,20060918112950487986,MASCHIO,35,ITALIA,ITA
AVPC012025000025,20070806120641943889,MASCHIO,28,ITALIA,ITA
AVPC022024000418,,NON INDICATO,,,
AVPC022024000424,20081022020331383502,FEMMINA,36,ITALIA,ITA
AVPC022024000424,20081022020331383502,MASCHIO,36,ITALIA,ITA
AVPC032024000242,20080318200608646928,MASCHIO,43,ROMANIA,ROU
BACC192023000345,20231010084636997586,MASCHIO,48,CINA,CHN
BACC192024000071,20120101110600345772,MASCHIO,35,ITALIA,ITA
BACS012024851194,20130601174545451426,MASCHIO,26,ITALIA,ITA
BACS052024000119,20020308114734510282,MASCHIO,43,ITALIA,ITA
BACS072024000027,19830720124814012746,MASCHIO,72,ITALIA,ITA
BACS112024000159,,NON INDICATO,,,
BACS112024000159,19910801135701013227,MASCHIO,54,ITALIA,ITA
BACS262024000038,20070908153051478594,MASCHIO,51,ITALIA,ITA
BACS342024000012,20030313003447064936,MASCHIO,48,ITALIA,ITA
BACS342024000033,19921013152320034191,MASCHIO,51,ITALIA,ITA
BACS352024000002,20010811114930807433,MASCHIO,51,ITALIA,ITA
BACS382024540300,20021020222355838221,MASCHIO,43,ITALIA,ITA
BACS492024000068,20221117140541605015,MASCHIO,17,ITALIA,ITA
BACS512024850364,20080318125647628254,MASCHIO,40,ITALIA,ITA
BACS512024851442,20070506084042635131,MASCHIO,33,ITALIA,ITA
BACS542024000008,,NON INDICATO,,,
BACS552023000110,20020505121644324840,MASCHIO,36,ITALIA,ITA
BAEV102023001003,20230826205354388246,MASCHIO,19,SUDAN,SDN
BAGG432024000086,20230925163215112465,MASCHIO,21,COSTA D'AVORIO,CIV
BAPC142024000553,20011114031055390102,MASCHIO,42,ITALIA,ITA
BAPC162024000282,20060209111643566273,MASCHIO,33,MAROCCO,MAR
BAPC162024000717,20010520202603593439,MASCHIO,42,ITALIA,ITA
BAPQ302024000166,20040830133035474496,MASCHIO,65,ITALIA,ITA
BAPQ302024000221,20060716092758872838,MASCHIO,34,ITALIA,ITA
BGCC012024000007,20220502133557182293,MASCHIO,25,NIGERIA,NGA
BGCC012024000068,20050102022744447522,MASCHIO,39,ROMANIA,ROU
BGCC042024000144,20240910030908363361,MASCHIO,38,MAROCCO,MAR
BGCC062024000030,20100607081345872155,MASCHIO,44,ROMANIA,ROU
BGCS012025000016,20170105111412759373,MASCHIO,22,ITALIA,ITA
BGCS022024000020,20030628193131598240,MASCHIO,37,MAROCCO,MAR
BGCS032024000019,19970205093746140568,MASCHIO,46,ITALIA,ITA
BGCS042024000103,19870213132321655052,MASCHIO,77,ITALIA,ITA
BGCS052024000002,19940208142449047461,MASCHIO,54,ITALIA,ITA
BGCS052024000035,20230312232233288517,MASCHIO,16,ITALIA,ITA
BGCS062024000021,20190911222525455883,FEMMINA,32,ITALIA,ITA
BGCS112024000038,20211207075255789546,MASCHIO,20,ITALIA,ITA
BGCS112024000099,20050831102646150573,MASCHIO,59,ITALIA,ITA
BGCS112024000123,19930417142849612791,FEMMINA,53,ITALIA,ITA
BGCS112024000134,20080920234624944182,MASCHIO,34,ITALIA,ITA
BGCS142024000072,20040514091229650922,MASCHIO,45,ITALIA,ITA
BGCS142024000200,20160212085824069957,MASCHIO,27,ROMANIA,ROU
BGCS152023000197,,NON INDICATO,,,
BGCS152024000014,20171109162212917250,MASCHIO,42,MAROCCO,MAR
BGCS152024000053,,NON INDICATO,,,
BGCS152024000170,20021216174319015284,MASCHIO,39,EL SALVADOR,SLV
BGCS182024000007,20050308083751053033,MASCHIO,54,ITALIA,ITA
BGCS192024000002,20031210154616053491,MASCHIO,44,ITALIA,ITA
BGCS212024164613,20151104090435981056,MASCHIO,16,TUNISIA,TUN
BGCS212025454546,19960127121543068035,MASCHIO,46,ITALIA,ITA
BGCS212025486035,20040229013132837157,FEMMINA,79,ITALIA,ITA
BGCS232023000139,20240703114739057341,MASCHIO,42,MAROCCO,MAR
BGCS232024000077,20151003151733950729,MASCHIO,27,ITALIA,ITA
BGCS232024000098,19691231112430005056,MASCHIO,77,ITALIA,ITA
BGCS232024000123,20220720014602196416,MASCHIO,19,ITALIA,ITA
BGCS262021000160,20020830160419882061,MASCHIO,37,ITALIA,ITA
BGCS262024000051,20050614135539753656,MASCHIO,36,MAROCCO,MAR
BGCS272022000104,20000413083931069858,MASCHIO,54,ERITREA,ERI
BGCS282023851696,20060420221245304512,MASCHIO,39,ITALIA,ITA
BGCS282024000066,20040527203104965115,MASCHIO,44,ITALIA,ITA
BGCS302024000037,20220417152313421293,MASCHIO,39,PERU',PER
BGCS302025000004,20070903122200717130,MASCHIO,30,ALGERIA,DZA
BGCS322023851168,20010112105335982806,MASCHIO,45,ITALIA,ITA
BGCS322025000032,20180622173941231808,MASCHIO,17,ITALIA,ITA
BGCS342024000089,20131002142915752412,MASCHIO,34,MAROCCO,MAR
BGCS352023000137,20140219145454770836,MASCHIO,26,ITALIA,ITA
BGCS352024000192,20070613203347449217,MASCHIO,35,ITALIA,ITA
BGCS362025000016,19990527191450046483,MASCHIO,61,BOSNIA ED ERZEGOVINA,BIH
BGCS392024000002,,NON INDICATO,,,
BGCS392024000127,20090728124952664269,MASCHIO,40,ITALIA,ITA
BGCS412024000016,20010820145920098878,MASCHIO,70,ITALIA,ITA
BGCS442024000039,20120517204937083225,MASCHIO,58,ITALIA,ITA
BGCS462024000018,19990924122817453943,MASCHIO,49,ITALIA,ITA
BGCS462024000090,20080802115714263452,MASCHIO,63,JUGOSLAVIA ETNIA KOSSOVARA,UNK
BGCS462024000105,20100829163053923589,MASCHIO,32,ITALIA,ITA
BGCS472024000009,20150419112155540131,MASCHIO,27,JUGOSLAVIA ETNIA KOSSOVARA,UNK
BGCS472024000019,20100825115330468458,FEMMINA,39,MOLDAVIA,MDA
BGCS482023000073,20241021120200855940,MASCHIO,25,ITALIA,ITA
BGCS482024000030,,NON INDICATO,,,
BGCS502024000045,,NON INDICATO,,,
BGCS502024850309,20000614103431016835,MASCHIO,42,ITALIA,ITA
BGCS502024850893,,NON INDICATO,,,
BGEVI12024000020,20110417150122919413,MASCHIO,35,ALBANIA,ALB
BGPC012024850596,,NON INDICATO,,,
BGPQ102024000358,20080916143434765222,MASCHIO,38,MOLDAVIA,MDA
BGPQ302024000007,20221109184357993181,MASCHIO,25,MAROCCO,MAR
BGPQ302024000031,20190627094701079023,MASCHIO,42,ITALIA,ITA
BGPQ302024000130,20140107085148517080,MASCHIO,48,ITALIA,ITA
BICC012024000021,20200729014138591213,MASCHIO,24,ITALIA,ITA
BICS012024000034,20080514053022801766,MASCHIO,56,ITALIA,ITA
BICS012024000035,20020630102840944591,FEMMINA,46,ITALIA,ITA
BICS072024000014,20081128120553426519,MASCHIO,71,ITALIA,ITA
BICS072024000017,20050808111228158979,MASCHIO,35,ITALIA,ITA
BICS072024000049,20150205180959143670,MASCHIO,25,TURCHIA,TUR
BICS072024000062,20170403170322006670,MASCHIO,25,MAROCCO,MAR
BICS162024000029,20200512221127236807,MASCHIO,33,ITALIA,ITA
BIPQ302024000056,20240207084322675464,MASCHIO,33,TUNISIA,TUN
BIPQ302024000145,20060322081728466921,MASCHIO,36,ITALIA,ITA
BIPQ302024000151,20111201144907276065,MASCHIO,29,ALBANIA,ALB
BLCP032024000007,20240621142802800038,MASCHIO,17,ITALIA,ITA
BLCP032024000009,20230517104301309604,MASCHIO,88,ITALIA,ITA
BLCS022024000021,20170124000330877254,MASCHIO,28,ITALIA,ITA
BLCS072024000020,19950508180659035895,FEMMINA,64,ALBANIA,ALB
BLCS132024000025,19930126141922029009,MASCHIO,50,ITALIA,ITA
BLCS172023000115,,NON INDICATO,,,
BLCS172024000104,20240731101850243184,MASCHIO,23,STATI UNITI D'AMERICA,USA
BLCS182023000069,20010707104504975529,MASCHIO,42,ITALIA,ITA
BLCS182024000001,20230913101012350034,MASCHIO,20,ITALIA,ITA
BLCS222024000038,20180510142546256016,MASCHIO,25,MAROCCO,MAR
BLCS252024000095,20230913103238680717,MASCHIO,38,EGITTO,EGY
BLPQ102023001915,20070828130440412278,MASCHIO,34,MOLDAVIA,MDA
BLPQ102023001925,20171003165328008879,MASCHIO,20,ITALIA,ITA
BLPQ302023000058,20000518200207035824,MASCHIO,41,MAROCCO,MAR
BLPQ302023000059,20010915134637833025,MASCHIO,54,ITALIA,ITA
BLPQ302024000023,20050524123815309945,FEMMINA,57,MOLDAVIA,MDA
BLPQ302025000005,20190905090644517533,MASCHIO,24,TURCHIA,TUR
BNCS092025000018,20210407195049099376,FEMMINA,21,ITALIA,ITA
BNCS132024000003,20010923005734199570,MASCHIO,45,ITALIA,ITA
BNCS132024000006,20050518154715737455,FEMMINA,37,ITALIA,ITA
BNCS142024000012,20170821121836923845,MASCHIO,27,ITALIA,ITA
BNCS152024000007,20180409160244186408,MASCHIO,33,NIGERIA,NGA
BNCS172024850130,19970521123204030268,MASCHIO,52,ITALIA,ITA
BNCS242024000710,20071113191736792708,MASCHIO,34,ITALIA,ITA
BNCS242024850529,20140407213852206658,MASCHIO,26,ITALIA,ITA
BNCS252023000013,20050206122159255092,MASCHIO,50,ITALIA,ITA
BNCT012025000002,20020715102700390588,MASCHIO,44,ITALIA,ITA
BNPQ302025020005,,NON INDICATO,,,
BOCS022024000028,20010707181513548565,MASCHIO,39,ITALIA,ITA
BOCS112024000002,20000217003257844514,MASCHIO,54,MAROCCO,MAR
