anno,provincia,delitto,eta_alla_data_del_reato_vittima,valore,provincia_uts,codice_provinciauts,codice_provincia_storico,codice_regione,regione,ripartizione_geografica,sigla_automobilistica,provinciauts_corretto,codice_ripartizione_geografica
2024,ASCOLI PICENO,12. VIOLENZE SESSUALI,55-64,1,Ascoli Piceno,044,044,11,Marche,Centro,AP,ASCOLI PICENO,3
2019,ASCOLI PICENO,12. VIOLENZE SESSUALI,65 e oltre,0,Ascoli Piceno,044,044,11,Marche,Centro,AP,ASCOLI PICENO,3
2020,ASCOLI PICENO,12. VIOLENZE SESSUALI,65 e oltre,0,Ascoli Piceno,044,044,11,Marche,Centro,AP,ASCOLI PICENO,3
2021,ASCOLI PICENO,12. VIOLENZE SESSUALI,65 e oltre,0,Ascoli Piceno,044,044,11,Marche,Centro,AP,ASCOLI PICENO,3
2022,ASCOLI PICENO,12. VIOLENZE SESSUALI,65 e oltre,0,Ascoli Piceno,044,044,11,Marche,Centro,AP,ASCOLI PICENO,3
2023,ASCOLI PICENO,12. VIOLENZE SESSUALI,65 e oltre,0,Ascoli Piceno,044,044,11,Marche,Centro,AP,ASCOLI PICENO,3
2024,ASCOLI PICENO,12. VIOLENZE SESSUALI,65 e oltre,1,Ascoli Piceno,044,044,11,Marche,Centro,AP,ASCOLI PICENO,3
2019,MASSA CARRARA,5. TENTATI OMICIDI,25-34,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,5. TENTATI OMICIDI,25-34,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,5. TENTATI OMICIDI,25-34,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,5. TENTATI OMICIDI,25-34,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,5. TENTATI OMICIDI,25-34,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,5. TENTATI OMICIDI,25-34,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,5. TENTATI OMICIDI,35-44,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,5. TENTATI OMICIDI,35-44,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,5. TENTATI OMICIDI,35-44,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,5. TENTATI OMICIDI,35-44,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,5. TENTATI OMICIDI,35-44,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,5. TENTATI OMICIDI,35-44,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,8. LESIONI DOLOSE,0-13,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,8. LESIONI DOLOSE,0-13,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,8. LESIONI DOLOSE,0-13,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,8. LESIONI DOLOSE,0-13,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,8. LESIONI DOLOSE,0-13,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,8. LESIONI DOLOSE,0-13,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,8. LESIONI DOLOSE,14-17,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,8. LESIONI DOLOSE,14-17,5,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,8. LESIONI DOLOSE,14-17,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,8. LESIONI DOLOSE,14-17,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,8. LESIONI DOLOSE,14-17,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,8. LESIONI DOLOSE,14-17,8,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,8. LESIONI DOLOSE,18-24,13,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,8. LESIONI DOLOSE,18-24,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,8. LESIONI DOLOSE,18-24,11,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,8. LESIONI DOLOSE,18-24,10,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,8. LESIONI DOLOSE,18-24,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,8. LESIONI DOLOSE,18-24,13,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,8. LESIONI DOLOSE,25-34,32,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,8. LESIONI DOLOSE,25-34,13,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,8. LESIONI DOLOSE,25-34,15,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,8. LESIONI DOLOSE,25-34,10,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,8. LESIONI DOLOSE,25-34,8,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,8. LESIONI DOLOSE,25-34,19,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,8. LESIONI DOLOSE,35-44,20,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,8. LESIONI DOLOSE,35-44,18,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,8. LESIONI DOLOSE,35-44,20,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,8. LESIONI DOLOSE,35-44,19,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,8. LESIONI DOLOSE,35-44,19,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,8. LESIONI DOLOSE,35-44,16,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,8. LESIONI DOLOSE,45-54,16,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,8. LESIONI DOLOSE,45-54,18,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,8. LESIONI DOLOSE,45-54,17,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,8. LESIONI DOLOSE,45-54,27,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,8. LESIONI DOLOSE,45-54,14,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,8. LESIONI DOLOSE,45-54,17,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,8. LESIONI DOLOSE,55-64,13,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,8. LESIONI DOLOSE,55-64,11,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,8. LESIONI DOLOSE,55-64,15,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,8. LESIONI DOLOSE,55-64,12,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,8. LESIONI DOLOSE,55-64,10,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,8. LESIONI DOLOSE,55-64,13,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,8. LESIONI DOLOSE,65 e oltre,16,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,8. LESIONI DOLOSE,65 e oltre,9,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,8. LESIONI DOLOSE,65 e oltre,10,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,8. LESIONI DOLOSE,65 e oltre,6,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,8. LESIONI DOLOSE,65 e oltre,10,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,8. LESIONI DOLOSE,65 e oltre,7,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,9. PERCOSSE,0-13,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,9. PERCOSSE,0-13,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,9. PERCOSSE,0-13,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,9. PERCOSSE,0-13,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,9. PERCOSSE,0-13,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,9. PERCOSSE,0-13,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,9. PERCOSSE,14-17,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,9. PERCOSSE,14-17,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,9. PERCOSSE,14-17,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,9. PERCOSSE,14-17,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,9. PERCOSSE,14-17,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,9. PERCOSSE,14-17,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,9. PERCOSSE,18-24,5,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,9. PERCOSSE,18-24,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,9. PERCOSSE,18-24,6,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,9. PERCOSSE,18-24,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,9. PERCOSSE,18-24,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,9. PERCOSSE,18-24,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,9. PERCOSSE,25-34,7,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,9. PERCOSSE,25-34,5,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,9. PERCOSSE,25-34,9,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,9. PERCOSSE,25-34,5,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,9. PERCOSSE,25-34,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,9. PERCOSSE,25-34,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,9. PERCOSSE,35-44,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,9. PERCOSSE,35-44,8,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,9. PERCOSSE,35-44,5,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,9. PERCOSSE,35-44,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,9. PERCOSSE,35-44,6,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,9. PERCOSSE,35-44,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,9. PERCOSSE,45-54,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,9. PERCOSSE,45-54,5,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,9. PERCOSSE,45-54,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,9. PERCOSSE,45-54,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,9. PERCOSSE,45-54,6,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,9. PERCOSSE,45-54,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,9. PERCOSSE,55-64,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,9. PERCOSSE,55-64,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,9. PERCOSSE,55-64,6,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,9. PERCOSSE,55-64,5,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,9. PERCOSSE,55-64,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,9. PERCOSSE,55-64,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,9. PERCOSSE,65 e oltre,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,9. PERCOSSE,65 e oltre,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,9. PERCOSSE,65 e oltre,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,9. PERCOSSE,65 e oltre,5,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,9. PERCOSSE,65 e oltre,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,9. PERCOSSE,65 e oltre,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,10. MINACCE,0-13,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,10. MINACCE,0-13,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,10. MINACCE,0-13,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,10. MINACCE,0-13,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,10. MINACCE,0-13,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,10. MINACCE,0-13,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,10. MINACCE,14-17,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,10. MINACCE,14-17,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,10. MINACCE,14-17,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,10. MINACCE,14-17,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,10. MINACCE,14-17,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,10. MINACCE,14-17,6,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,10. MINACCE,18-24,12,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,10. MINACCE,18-24,8,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,10. MINACCE,18-24,13,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,10. MINACCE,18-24,9,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,10. MINACCE,18-24,6,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,10. MINACCE,18-24,14,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,10. MINACCE,25-34,25,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,10. MINACCE,25-34,19,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,10. MINACCE,25-34,26,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,10. MINACCE,25-34,11,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,10. MINACCE,25-34,18,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,10. MINACCE,25-34,12,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,10. MINACCE,35-44,39,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,10. MINACCE,35-44,29,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,10. MINACCE,35-44,28,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,10. MINACCE,35-44,17,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,10. MINACCE,35-44,19,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,10. MINACCE,35-44,23,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,10. MINACCE,45-54,30,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,10. MINACCE,45-54,33,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,10. MINACCE,45-54,28,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,10. MINACCE,45-54,25,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,10. MINACCE,45-54,29,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,10. MINACCE,45-54,37,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,10. MINACCE,55-64,26,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,10. MINACCE,55-64,22,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,10. MINACCE,55-64,20,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,10. MINACCE,55-64,22,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,10. MINACCE,55-64,22,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,10. MINACCE,55-64,25,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,10. MINACCE,65 e oltre,12,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,10. MINACCE,65 e oltre,12,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,10. MINACCE,65 e oltre,8,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,10. MINACCE,65 e oltre,17,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,10. MINACCE,65 e oltre,13,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,10. MINACCE,65 e oltre,14,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,12. VIOLENZE SESSUALI,0-13,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,12. VIOLENZE SESSUALI,0-13,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,12. VIOLENZE SESSUALI,0-13,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,12. VIOLENZE SESSUALI,0-13,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,12. VIOLENZE SESSUALI,0-13,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,12. VIOLENZE SESSUALI,0-13,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,12. VIOLENZE SESSUALI,14-17,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,12. VIOLENZE SESSUALI,14-17,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,12. VIOLENZE SESSUALI,14-17,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,12. VIOLENZE SESSUALI,14-17,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,12. VIOLENZE SESSUALI,14-17,7,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,12. VIOLENZE SESSUALI,14-17,7,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,12. VIOLENZE SESSUALI,18-24,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,12. VIOLENZE SESSUALI,18-24,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,12. VIOLENZE SESSUALI,18-24,7,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,12. VIOLENZE SESSUALI,18-24,4,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,12. VIOLENZE SESSUALI,18-24,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,12. VIOLENZE SESSUALI,18-24,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,12. VIOLENZE SESSUALI,25-34,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,12. VIOLENZE SESSUALI,25-34,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,12. VIOLENZE SESSUALI,25-34,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,12. VIOLENZE SESSUALI,25-34,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,12. VIOLENZE SESSUALI,25-34,8,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,12. VIOLENZE SESSUALI,25-34,5,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,12. VIOLENZE SESSUALI,35-44,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,12. VIOLENZE SESSUALI,35-44,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,12. VIOLENZE SESSUALI,35-44,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,12. VIOLENZE SESSUALI,35-44,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,12. VIOLENZE SESSUALI,35-44,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,12. VIOLENZE SESSUALI,35-44,1,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2019,MASSA CARRARA,12. VIOLENZE SESSUALI,45-54,5,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2020,MASSA CARRARA,12. VIOLENZE SESSUALI,45-54,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2021,MASSA CARRARA,12. VIOLENZE SESSUALI,45-54,3,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2022,MASSA CARRARA,12. VIOLENZE SESSUALI,45-54,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2023,MASSA CARRARA,12. VIOLENZE SESSUALI,45-54,0,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
2024,MASSA CARRARA,12. VIOLENZE SESSUALI,45-54,2,Massa-Carrara,045,045,09,Toscana,Centro,MS,Massa-Carrara,3
