anno,provincia,delitto,eta_alla_data_del_reato_vittima,valore,provincia_uts,codice_provinciauts,codice_provincia_storico,codice_regione,regione,ripartizione_geografica,sigla_automobilistica,provinciauts_corretto,codice_ripartizione_geografica
2022,TORINO,8. LESIONI DOLOSE,45-54,152,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,45-54,137,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,45-54,152,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,55-64,88,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,55-64,69,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,55-64,80,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,55-64,109,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,55-64,100,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,55-64,79,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,8. LESIONI DOLOSE,65 e oltre,71,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,8. LESIONI DOLOSE,65 e oltre,59,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,8. LESIONI DOLOSE,65 e oltre,57,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,8. LESIONI DOLOSE,65 e oltre,40,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,8. LESIONI DOLOSE,65 e oltre,49,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,8. LESIONI DOLOSE,65 e oltre,56,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,0-13,2,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,0-13,4,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,0-13,4,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,0-13,7,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,0-13,8,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,0-13,7,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,14-17,3,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,14-17,12,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,14-17,12,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,14-17,12,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,14-17,12,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,14-17,11,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,18-24,19,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,18-24,34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,18-24,23,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,18-24,34,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,18-24,27,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,18-24,23,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,25-34,54,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,25-34,42,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,25-34,40,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,25-34,62,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,25-34,57,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,25-34,44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,35-44,50,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,35-44,43,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,35-44,59,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,35-44,65,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,35-44,51,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,35-44,56,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,45-54,59,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,45-54,45,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,45-54,58,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,45-54,59,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,45-54,61,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,45-54,72,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,55-64,29,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,55-64,24,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,55-64,27,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,55-64,44,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,55-64,32,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,55-64,26,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,9. PERCOSSE,65 e oltre,19,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,9. PERCOSSE,65 e oltre,19,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,9. PERCOSSE,65 e oltre,19,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,9. PERCOSSE,65 e oltre,29,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,9. PERCOSSE,65 e oltre,16,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,9. PERCOSSE,65 e oltre,22,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2019,TORINO,10. MINACCE,0-13,15,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2020,TORINO,10. MINACCE,0-13,5,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2021,TORINO,10. MINACCE,0-13,13,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2022,TORINO,10. MINACCE,0-13,7,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2023,TORINO,10. MINACCE,0-13,12,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
2024,TORINO,10. MINACCE,0-13,18,Torino,201,001,01,Piemonte,Nord-ovest,TO,TORINO,1
